Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector/Industry,Industry,Volume (90 Day Avg),Price Performance (52 Weeks),Total Return (5 Yr Annualized),Standard Deviation (5 Yr Annualized),P/E (Next Year's Estimate),Beta (5 Yr Annualized),Dividend Yield,Shares Outstanding,Institutional Ownership,Beta (10 Yr Annualized),Beta (1 Year Annualized)
TALN,Talon International Inc,CS,0.1501,$13.8M,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",0.0285,-16.66667,10.75663,2.2167,15,0.006669135,,92.268,0.0436,0.560115835,0.75873224
ED,Consolidated Edison Inc.,CS,62.15,$18.2B,Utilities,Multi-Utilities,2.09986,-1.48852,9.82558,0.15303,15.28586,0.017372514,4.17939,293.192,52.6448,0.219758737,0.274931187
IIJI,Internet Initiative Japan Inc,DR,9.32,$827.1M,Information Technology,Internet Software & Services,0.00158,-11.93393,10.56512,0.40247,22.30952,0.018474987,,91.905,0.5196,1.166029463,1.118202235
NEM,Newmont Mining Corp,CS,18.42,$9.2B,Materials,Metals & Mining,8.75166,-5.48913,-19.88953,0.36968,21.13001,0.025233894,0.57504,529.118,80.6433,0.261511773,0.634888237
APPS,Digital Turbine Inc,CS,1.53,$98.4M,Information Technology,Software,0.31961,-53.4375,-2.60258,0.86178,19.10256,0.027596759,,66.072,27.5585,,-0.236587646
ITC,ITC Holdings Corp,CS,36.8799,$5.2B,Utilities,Electric Utilities,1.39788,-11.18421,12.80138,0.16944,16.26724,0.030283859,2.22222,153.419,89.8626,0.564790631,0.394395501
SO,Southern Co (The),CS,44.545,$40.5B,Utilities,Electric Utilities,4.93788,-6.00886,8.28747,0.12227,15.12725,0.048497196,4.86765,908.939,49.5845,0.261776269,0.268533218
MAMS,MAM Software Group Inc,CS,7.34,$105.8M,Information Technology,Software,0.01139,26.82758,37.15935,0.36307,27.22222,0.073306587,,14.435,32.1979,,-0.046883241
GFI,Gold Fields Ltd,DR,2.54,$1.9B,Materials,Metals & Mining,5.8349,-46.81319,-27.66622,0.43083,13.70787,0.087245083,0.80376,778.115,37.1714,0.433367048,-0.822598226
SMED,Sharps Compliance Corp,CS,9.08,$127.5M,Health Care,Health Care Providers & Services,0.09941,80.87692,12.19221,0.41898,24.75758,0.09273481,,15.488,25.9704,0.702855998,0.210750789
LOV,Sparks Networks Inc,CS,3.8664,$97.9M,Information Technology,Internet Software & Services,0.03294,-5.45906,4.89644,0.37966,47.125,0.095098066,,25.691,45.9331,,0.271236564
DGICA,Donegal Group Inc,CS,13.92,$314.3M,Financials,Insurance,0.02048,-11.30159,2.82679,0.17902,9.98571,0.096513599,3.86543,22.498,27.9932,0.449065627,0.533957353
NI,NiSource Inc.,CS,19.18,$6.1B,Utilities,Multi-Utilities,3.24927,16.95558,16.62314,0.12831,17.90458,0.106073427,3.22581,318.671,82.296,0.629119363,1.322382235
DUK,Duke Energy Corp,CS,67.76,$46.5B,Utilities,Electric Utilities,3.36597,-15.28423,9.95859,0.14017,14.35354,0.1066396,4.88816,688.33,54.9192,0.356029687,0.188920395
THS,TreeHouse Foods Inc,CS,86.45,$3.7B,Consumer Staples,Food Products,0.48467,6.3229,11.27104,0.22875,26.24886,0.106659105,,43.095,96.8465,0.303318251,0.22131808
WNS,WNS (Holdings) Ltd,DR,30.72,$1.6B,Information Technology,IT Services,0.1894,49.6582,22.26088,0.30112,15.29854,0.119516076,,52.287,87.1673,,0.478281205
WEC,WEC Energy Group Inc,CS,49.32,$15.6B,Utilities,Multi-Utilities,2.07215,2.18647,14.28962,0.16324,16.78755,0.131192686,3.69398,315.684,67.3973,0.313195596,0.340358613
EGAS,Gas Natural Inc,CS,8.73,$91.5M,Utilities,Gas Utilities,0.02587,-23.52941,2.44506,0.20377,13.65625,0.13188362,6.19977,10.505,20.8553,0.189278408,0.472393947
HBCP,Home Bancorp Inc,CS,26.4,$190.8M,Financials,Thrifts & Mortgage Finance,0.01325,13.90929,14.46991,0.12459,11.10587,0.13441134,1.2135,7.234,34.2179,,0.083183004
LAKE,Lakeland Industries Inc,CS,13.93,$102.2M,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",0.11686,19.4421,8.51638,0.6338,13.625,0.139114753,,7.234,44.7571,0.495971624,0.390843858
FE,FirstEnergy Corp.,CS,31.39,$13.2B,Utilities,Electric Utilities,3.53069,-14.51701,2.31803,0.20641,11.1179,0.145524156,4.62279,423.042,75.4481,0.412333068,0.60768315
PPP,Primero Mining Corp,CS,2.265,$357.4M,Materials,Metals & Mining,1.18977,-50.3386,-14.34699,0.58389,21.56863,0.145855676,,162.434,68.836,,0.364329814
PLCE,Childrens Place Inc (The),CS,48.32,$1B,Consumer Discretionary,Specialty Retail,0.40938,-8.22993,-0.03075,0.27601,13.25793,0.153777213,1.19308,20.314,91.0424,0.827840862,0.281008071
CASH,Meta Financial Group Inc,CS,45,$368.2M,Financials,Thrifts & Mortgage Finance,0.0373,25.06259,30.98944,0.30746,9.44894,0.157779864,1.15658,8.19,70.7801,1.035859802,0.691414856
D,Dominion Resources Inc.,CS,67.38,$40.1B,Utilities,Multi-Utilities,2.5223,-7.1143,14.23962,0.12065,17.45974,0.159483031,3.84444,595.334,61.6235,0.44181332,0.55407215
ACC,American Campus Communities Inc,CSRT,40.4,$4.6B,Financials,Real Estate Investment Trusts (REITs),0.95088,1.45109,8.67243,0.16701,51.28173,0.163777046,3.94575,112.329,97.8344,0.648266543,0.480035844
SSDOY,Shiseido Co Ltd,DR,24.07,--,Consumer Staples,Personal Products,,62.14575,4.12908,0.24813,47.84314,0.164478299,,399.015,0.2065,0.459268796,0.719494761
UTL,Unitil Corp,CS,35.09,$494.7M,Utilities,Electric Utilities,0.05244,0.85519,14.58883,0.13471,18.42685,0.169657919,3.95704,13.983,53.1473,0.28570809,0.121237961
PROV,Provident Financial Holdings Inc,CS,18.49,$154.2M,Financials,Thrifts & Mortgage Finance,0.01552,22.75168,24.52991,0.15582,15.16667,0.169956514,2.62438,8.433,58.6349,0.78235797,-0.113315276
UAL,United Continental Holdings Inc,CS,55.74,$21.2B,Industrials,Airlines,6.69773,-7.20235,15.04041,0.33897,6.95216,0.170684123,,372.81,96.2326,,0.671991198
COO,Cooper Companies Inc. (The),CS,146.25,$7.1B,Health Care,Health Care Equipment & Supplies,0.51212,-13.11853,23.0326,0.22373,17.28128,0.172371601,0.04083,48.614,98.3843,0.832281289,0.575758334
XEL,Xcel Energy Inc.,CS,35.67,$18.1B,Utilities,Electric Utilities,3.39369,5.00884,13.06151,0.13471,15.9982,0.175118033,3.59147,507.497,70.2138,0.36184008,0.312452189
CMS,CMS Energy Corp,CS,35.03,$9.8B,Utilities,Multi-Utilities,2.46999,7.55352,18.87609,0.14571,17.33566,0.181552585,3.29827,277.88,88.8797,0.455382294,0.350868178
NSSC,NAPCO Security Technologies Inc,CS,5.81,$111.8M,Information Technology,Electronic Equipment Instruments & Components,0.05847,30.8204,28.60983,0.32444,12.73913,0.188527377,,18.951,16.6973,0.890143566,0.886047629
ANH,Anworth Mortgage Asset Corp,CSRT,4.8,$480.5M,Financials,Real Estate Investment Trusts (REITs),0.85562,-11.27542,3.66035,0.17845,9.00188,0.198270628,12.5,100.105,60.3665,0.25110953,0.303476893
COKE,Coca-Cola Bottling Co Consolidated,CS,193.67,$1.8B,Consumer Staples,Beverages,0.05009,112.79854,29.65271,0.27698,27.99275,0.198563613,0.5033,9.292,45.6398,0.439255304,0.807490348
LMAT,LeMaitre Vascular Inc,CS,15.43,$286.1M,Health Care,Health Care Equipment & Supplies,0.13661,110.53333,20.49648,0.26626,40.39604,0.201212321,1.0133,18.116,56.1113,,0.304527695
SCG,SCANA Corp,CS,59.14,$8.5B,Utilities,Multi-Utilities,0.87242,4.83015,12.33538,0.14577,15.04571,0.203196321,3.67932,142.917,58.0483,0.476495786,0.502427437
CHMG,Chemung Financial Corp,CS,27.95,$129M,Financials,Banks,0.00224,-2.17356,8.23969,0.17074,12.13816,0.211149625,3.75789,4.661,22.9269,0.247496105,-0.040985864
FCTY,1st Century Bancshares Inc,CS,7.28,$79.5M,Financials,Banks,0.00559,13.23529,15.23126,0.21938,16.04167,0.212392516,,10.322,23.4882,0.380355622,0.219348707
LLY,Eli Lilly and Co,CS,82.25,$92.7B,Health Care,Pharmaceuticals,5.25945,24.25728,24.40171,0.12846,22.88603,0.21463231,2.39091,1108.077,75.0084,0.63685917,0.405555061
SAFM,Sanderson Farms Inc,CS,74.85,$1.7B,Consumer Staples,Food Products,0.40302,-14.89435,13.32754,0.2686,12.03826,0.216551859,1.195,22.413,90.2782,0.445300187,1.035232928
TASR,TASER International Inc,CS,18.69,$1B,Industrials,Aerospace & Defense,2.02148,-13.8546,35.26876,0.45542,52.65027,0.219230239,,53.643,83.9417,0.851172601,1.361953789
DCM,Ntt Docomo Inc,DR,19.02,$75.7B,Telecommunication Services,Wireless Telecommunication Services,0.16487,23.95172,7.80915,0.20658,17.17857,0.219746362,2.91556,3881.484,,0.160892861,0.425925322
PZZA,Papa John's International Inc,CS,57.48,$2.3B,Consumer Discretionary,"Hotels, Restaurants & Leisure",0.40671,10.6225,35.80784,0.24445,24.32104,0.220695262,1.20461,39.014,74.7475,0.536898978,0.300372036
SSPC,SpendSmart Networks Inc,CS,0.21,--,--,--,,-74.6988,-52.00974,0.72586,6.66667,0.221483094,,19.565,,0.038778937,
NVEC,NVE Corp,CS,59.72,$288.7M,Information Technology,Semiconductors & Semiconductor Equipment,0.02583,-15.53728,4.69494,0.27034,23.32157,0.227007793,6.71366,4.845,74.4782,0.755855814,1.041293556
UFCS,United Fire Group Inc,CS,40.04,$990.3M,Financials,Insurance,0.06085,38.07692,17.20683,0.26795,15.11538,0.227214346,2.22841,25.076,58.5959,0.780848364,0.636184387
CHL,China Mobile Ltd,DR,57.47,$236.8B,Telecommunication Services,Wireless Telecommunication Services,0.75059,-7.02685,6.80582,0.18094,12.22945,0.232345527,3.24086,4095.055,,0.541545294,0.753908236
