Symbol,Sector,Perf_5Year,SD_5Year,Beta_5Year,Beta_10Year
MNRO,Consumer Discretionary,19.36732,0.24251,0.676702584,0.551888874
CPT,Financials,12.45695,0.19482,0.677639765,1.330794262
NGS,Energy,7.55238,0.30385,0.67793281,1.280736515
CRI,Consumer Discretionary,23.45531,0.25617,0.678205092,0.741631287
IEC,Information Technology,-10.50889,0.37578,0.678283115,1.084791225
EA,Information Technology,35.62586,0.34954,0.678940575,1.191957081
GAIN,Financials,9.08548,0.17517,0.679485062,0.826540831
ECL,Materials,21.06045,0.1603,0.679905059,0.697610788
SBAC,Telecommunication Services,22.35908,0.18889,0.68128864,0.87898077
PPC,Consumer Staples,29.49149,0.44302,0.681308047,
CTHR,Consumer Discretionary,-10.18066,0.58759,0.681569273,0.939475352
MCRI,Consumer Discretionary,13.34004,0.37751,0.684266677,1.494839778
DSGX,Information Technology,23.84246,0.19796,0.685326024,1.086924893
EW,Health Care,20.15176,0.29461,0.686722867,0.499934601
CBRL,Consumer Discretionary,22.7271,0.20633,0.687068377,0.910632698
SJI,Utilities,1.16197,0.17639,0.687914355,0.386421928
TM,Consumer Discretionary,11.86285,0.19575,0.68953931,0.712487851
ESGR,Financials,12.68831,0.20826,0.690257668,1.246019231
BPT,Energy,-13.14897,0.30885,0.690573078,0.618465472
FNF,Financials,29.4326,0.18115,0.691552725,0.627745191
IRM,Financials,21.80246,0.26709,0.694050695,0.899392636
HRL,Consumer Staples,27.28307,0.17087,0.694298176,0.495283686
FFKT,Financials,40.94706,0.39937,0.694784455,1.101125922
DYSL,Information Technology,-20.32123,0.52447,0.6960369,0.995007307
CTAS,Industrials,29.7292,0.14258,0.696796906,0.90410942
ROL,Industrials,19.50697,0.17711,0.697469875,0.547002062
AET,Health Care,29.7447,0.20846,0.698755098,1.121723824
ALE,Utilities,11.9634,0.18002,0.702003847,0.681071072
BOFI,Financials,43.19527,0.34189,0.702169222,0.844911558
LION,--,36.38567,0.29133,0.702842021,1.132000468
JACK,Consumer Discretionary,30.62545,0.23556,0.703095718,0.789143839
BF/B,Consumer Staples,23.39551,0.16971,0.703176759,0.728304893
AKR,Financials,16.95699,0.19035,0.704154972,1.109522504
JKHY,Information Technology,24.9626,0.13943,0.705464924,0.723402888
PGR,Financials,13.60033,0.16749,0.705525164,0.813053181
WES,Energy,15.12812,0.20799,0.705643671,
AHL,Financials,13.91774,0.16433,0.706252728,0.696222222
IBM,Information Technology,1.37215,0.15842,0.707170298,0.709947803
PMC,Health Care,25.06611,0.41092,0.70728326,
CAM,Energy,7.46096,0.32007,0.70735327,1.297515304
EAT,Consumer Discretionary,20.87905,0.21883,0.707962259,1.354248958
AMNB,Financials,7.54217,0.19673,0.708508394,0.542907911
PDLI,Health Care,0.34115,0.2883,0.708522033,0.612487657
METR,Financials,27.21765,0.25492,0.710516964,0.802089399
VR,Financials,14.56276,0.15598,0.711235598,
OLED,Information Technology,16.19311,0.63273,0.712837491,1.285998415
CZNC,Financials,11.26501,0.18146,0.714478063,0.540887516
BMRC,Financials,12.20899,0.18182,0.714636584,0.839442945
ARI,Financials,11.83023,0.13754,0.715138428,
TECH,Health Care,10.48703,0.17713,0.715297262,0.689374461
BKH,Utilities,10.71732,0.1902,0.716048586,0.981905496
SBSI,Financials,22.23615,0.20496,0.716449305,0.653607894
HR,Financials,11.06876,0.21642,0.716474061,0.941650283
HFWA,Financials,10.76935,0.18227,0.717591802,0.503723144
KVHI,Information Technology,-7.46437,0.30621,0.717691536,1.133457203
ESCA,Consumer Discretionary,22.37093,0.32199,0.719383272,1.565967408
HPY,Information Technology,38.34418,0.2739,0.720070451,1.309899698
TREE,Financials,70.40285,0.46835,0.720432676,
ARG,Materials,19.79982,0.25393,0.721982766,1.039390418
XRS,Consumer Discretionary,22.07982,0.37893,0.722948301,
AEO,Consumer Discretionary,4.42423,0.31662,0.723417823,1.038649906
MAIN,Financials,22.1258,0.19257,0.723656833,
WDFC,Consumer Staples,23.31204,0.20577,0.724361002,0.703936848
LB,Consumer Discretionary,33.17724,0.24819,0.725187253,1.403177773
SNPS,Information Technology,14.46003,0.14654,0.726536763,0.709892606
BMR,Financials,10.87046,0.21028,0.726598311,1.398982909
ALXN,Health Care,36.291,0.28734,0.727038697,0.641103
CLH,Industrials,2.8703,0.28239,0.727164066,0.322573997
BNCN,Financials,26.1197,0.22942,0.727194863,0.625863948
CIVB,--,23.56478,0.26824,0.728158947,0.398981965
NHI,Financials,11.50961,0.20404,0.72898164,0.70201667
AMRB,Financials,13.20676,0.23307,0.729719158,0.620717699
BPL,Energy,6.96567,0.2083,0.731853092,0.403725543
BRCM,Information Technology,5.22509,0.26648,0.732295498,1.204716188
CBNJ,Financials,11.35558,0.19584,0.732983921,
CTL,Telecommunication Services,-2.20856,0.20945,0.733314064,0.721750978
NSH,Energy,-1.15967,0.27318,0.733577268,
TICC,Financials,2.53845,0.19196,0.734774802,1.008656535
G,Information Technology,14.92753,0.20547,0.735881311,
NEWT,Financials,19.40769,,0.735989676,0.272583596
OXM,Consumer Discretionary,24.5245,0.38152,0.736704081,1.956094623
RTN,Industrials,26.03514,0.18174,0.737046331,0.706577095
WWE,Consumer Discretionary,9.61172,0.48146,0.737626974,0.69053897
FDS,Financials,14.97644,0.18407,0.737886491,1.115735371
CNSL,Telecommunication Services,11.78016,0.2124,0.738891105,0.979818765
BOBE,Consumer Discretionary,7.56007,0.24534,0.739312351,0.861725486
EPD,Energy,8.73636,0.16887,0.73956052,0.598334666
DORM,Consumer Discretionary,22.05135,0.27915,0.73982781,1.159094944
RRM,Consumer Discretionary,10.43995,0.33314,0.74036519,
STNR,Consumer Discretionary,9.33708,0.25117,0.74136267,1.12597582
OLP,Financials,15.74103,0.19521,0.741687873,1.753529578
WPC,Financials,22.65266,0.19171,0.741690204,0.87941718
RVSB,Financials,14.71446,0.32339,0.741815176,0.573205484
LKFN,Financials,21.24743,0.19852,0.741904786,0.489226951
TDG,Industrials,36.78321,0.1915,0.741974013,
STS,Industrials,-1.46273,0.38332,0.742309773,1.177631323
HCCI,Industrials,1.73849,0.39245,0.743791753,
CKH,Energy,3.82248,0.21826,0.744514047,0.780169848
SHW,Materials,31.55391,0.1893,0.74585475,0.704820147
STWD,Financials,12.34739,0.16653,0.746054458,
AMZN,Consumer Discretionary,30.26523,0.27536,0.747120695,1.065256937
UL,Consumer Staples,12.46009,0.16008,0.747329862,0.767942701
CORR,Financials,-1.20229,0.25006,0.748913504,
LDR,Health Care,-5.45066,0.28495,0.749412914,0.822333252
UGI,Utilities,14.88889,0.17572,0.749638294,0.44905327
SLGN,Materials,10.53553,0.16647,0.749719261,0.541384555
WRB,Financials,17.74377,0.1553,0.75046763,0.479873195
SYX,Consumer Discretionary,-4.91211,0.41273,0.750477902,1.302339872
SIGM,Information Technology,-6.76587,0.52759,0.751206008,0.822638307
BRK/A,Financials,11.03789,0.13026,0.752378593,0.560321868
PSO,Consumer Discretionary,0.21906,0.21912,0.752761908,0.783814741
NJ,Industrials,10.14488,0.25733,0.753059413,0.910617982
TACT,Information Technology,1.66916,0.4091,0.753099972,1.28934099
FLY,Industrials,6.31642,0.23648,0.753179298,
SPTN,Consumer Staples,9.45945,0.27372,0.753685388,0.549917784
IART,Health Care,9.45653,0.20752,0.753711636,0.889457537
MDU,Utilities,-0.27265,0.17791,0.753997848,1.042274046
SBUX,Consumer Discretionary,33.75314,0.19642,0.754013486,1.132288296
SNP,Energy,1.34249,0.26122,0.754859752,1.163736804
CLGRF,Materials,-18.67961,0.65333,0.75534841,0.71632421
IACI,Information Technology,15.3564,0.22428,0.755455668,0.709227342
BCR,Health Care,17.93041,0.19497,0.755639603,0.441281899
DCO,Industrials,-5.49871,0.45605,0.756046366,1.315518894
TCRD,Financials,7.4592,0.17219,0.756215147,
BABY,Health Care,29.75888,0.33945,0.756693231,1.247450792
ERII,Industrials,15.47815,1.15581,0.756834968,
MXIM,Information Technology,14.49105,0.2108,0.758867874,1.029354967
KR,Consumer Staples,29.02689,0.1997,0.758873003,0.523621957
LGF,Consumer Discretionary,36.58185,0.31877,0.759080283,0.792581855
WSR,Financials,5.59473,0.16622,0.759495272,
CBZ,Industrials,11.26559,0.20062,0.761194345,0.610181964
ASX,Information Technology,16.73214,0.26247,0.762646211,1.408150279
KNX,Industrials,10.55975,0.2328,0.763083354,0.713196064
GMAN,Consumer Discretionary,-20.20906,0.71074,0.763615968,
AZN,Health Care,12.77879,0.1987,0.764223096,0.645920226
IGXT,--,11.79578,0.62402,0.765530771,
BOKF,Financials,11.19055,0.16543,0.767313975,0.756113554
PSEC,Financials,6.88954,0.18087,0.767585603,0.722473728
ISBC,Financials,23.23943,0.15166,0.768002243,0.82742713
NTRI,Consumer Discretionary,8.46132,0.38385,0.768484232,0.947372068
IDXX,Health Care,16.83257,0.23202,0.76967206,0.978700262
FUN,Consumer Discretionary,38.64114,0.22132,0.770204822,1.093595325
HAIN,Consumer Staples,26.21653,0.27484,0.770493103,0.974247435
BRK/B,Financials,11.10766,0.13076,0.770587784,0.587772036
TRP,Energy,1.69985,0.17395,0.770905585,0.74493882
CPS,Consumer Discretionary,10.81602,0.27041,0.771259918,
NILE,Consumer Discretionary,-3.96388,0.3896,0.771392794,1.315629645
ESS,Financials,19.8569,0.1982,0.772280419,0.92851875
TARO,Health Care,59.11735,0.33822,0.773983094,0.243338326
WAT,Health Care,11.44375,0.18894,0.774005705,0.981707431
AMAG,Health Care,13.91384,0.51279,0.775056001,0.913003158
UN,Consumer Staples,12.60091,0.16762,0.777083601,0.799828337
BWXT,Industrials,9.94213,0.21091,0.777542808,
LH,Health Care,8.58362,0.17432,0.777803306,0.572113438
INFN,Information Technology,21.64757,0.41793,0.778602079,
TYPE,Information Technology,20.94537,0.3112,0.778897805,
EQIX,Financials,34.0444,0.22599,0.779828107,1.374732564
AGYS,Information Technology,16.6389,0.35666,0.780258335,2.058326324
AZPN,Information Technology,27.96388,0.23518,0.780344084,1.169974153
HAE,Health Care,1.75774,0.1912,0.781481769,0.483368548
DEO,Consumer Staples,12.61886,0.14571,0.783540967,0.750142471
BHLB,Financials,12.0646,0.17338,0.784072583,0.700459716
GSK,Health Care,6.14521,0.16887,0.785046937,0.6506447
RAVE,Consumer Discretionary,25.75529,0.74574,0.78548212,0.694917667
BRKL,Financials,7.26292,0.19152,0.785538394,0.56608673
HVT,Consumer Discretionary,18.90654,0.29055,0.785656231,0.748915795
ARCC,Financials,8.63309,0.1417,0.785907276,1.535067625
EPIQ,Information Technology,3.42036,0.28439,0.786597965,0.347014652
MA,Information Technology,33.78332,0.18961,0.787383116,
RBCAA,Financials,8.74644,0.25793,0.790304417,0.912726373
PPBI,Financials,32.12039,0.23534,0.790746255,0.854421467
AMSF,Financials,25.02667,0.23683,0.790824194,
CINF,Financials,20.14957,0.15909,0.791334774,0.757655042
MAT,Consumer Discretionary,3.85579,0.25136,0.792055992,0.932319548
TRK,Consumer Discretionary,9.05059,0.21949,0.793086773,1.13992911
MFSF,Financials,25.60446,0.21457,0.793324614,0.942838679
CIB,--,-11.4911,0.2591,0.793486544,1.145695936
VSI,Consumer Discretionary,0.19582,0.26716,0.794952776,
PSB,Financials,14.41653,0.1845,0.795274838,0.863237411
DYN,Utilities,-51.90269,0.53448,0.796129183,0.998704031
PDCO,Health Care,10.49581,0.15429,0.796751927,0.831174616
AIZ,Financials,21.64213,0.19059,0.796885773,1.275952228
TCAP,Financials,12.85338,0.24668,0.797261215,
CCL,Consumer Discretionary,7.40763,0.21059,0.799336552,1.305345286
SKM,Telecommunication Services,9.73522,0.23429,0.799342571,0.933796926
BOCH,Financials,19.82114,0.19983,0.799847823,0.601675733
PFBC,Financials,36.24619,0.30252,0.799922111,0.662512543
AI,Financials,2.96138,0.22042,0.800043,1.975029018
REGN,Health Care,81.19582,0.43716,0.800285521,1.101575678
DX,Financials,2.87605,0.1728,0.80051157,0.48240772
PCOM,Information Technology,6.77455,0.45323,0.801823006,
PBCT,Financials,11.27593,0.15866,0.802998875,0.392365591
SMG,Materials,10.21694,0.20021,0.803299967,0.732751993
CB,Financials,20.76303,0.18915,0.804048842,0.579479142
EBSB,Financials,27.54706,0.1836,0.80433852,
SAM,Consumer Staples,21.52601,0.31693,0.80519427,0.77543665
BMI,Information Technology,8.88199,0.23362,0.805249688,0.925334181
DPZ,Consumer Discretionary,52.23641,0.24415,0.805703761,1.077567199
COT,Consumer Staples,6.87213,0.29465,0.806170838,1.914458496
CSFL,Financials,19.39295,0.24079,0.806792451,0.473965348
ATVI,Information Technology,27.52671,0.25238,0.806803689,0.683120311
AFG,Financials,16.80211,0.12838,0.807532018,1.03133569
SFNC,Financials,17.76551,0.23412,0.80813612,0.518608239
HURN,Industrials,19.73406,0.29997,0.808899644,0.86256171
EFX,Industrials,28.18608,0.15884,0.808957851,1.043008599
MDLZ,Consumer Staples,20.22495,0.16699,0.810083027,0.640458977
INTC,Information Technology,13.82946,0.215,0.810186506,1.049144631
PRCP,Information Technology,9.71833,0.46361,0.811926413,1.16440531
PX,Materials,6.54282,0.12994,0.812491527,0.839899398
ABC,Health Care,27.95112,0.17476,0.812918956,0.719051528
TEVA,Health Care,7.26004,0.21888,0.813788414,0.38321456
ORRF,Financials,-6.47885,0.35622,0.815552771,0.441142618
MGRC,Industrials,3.74794,0.236,0.817001867,1.163507801
HFBC,Financials,8.19528,0.2176,0.817110722,0.480711186
EFSC,Financials,25.25546,0.24635,0.817163504,0.821020124
FL,Consumer Discretionary,31.17516,0.2374,0.817788072,1.005548672
DISH,Consumer Discretionary,30.19506,0.26604,0.818281866,1.321675709
GEL,Energy,16.13036,0.18863,0.818352842,0.92558681
CISG,Financials,-15.78141,0.51086,0.818538016,
VAR,Health Care,4.28155,0.18907,0.819341964,0.799086657
VFC,Consumer Discretionary,28.09003,0.19734,0.819533812,0.950566969
ALK,Industrials,42.45193,0.27465,0.820036293,0.626063085
CACB,Financials,-4.98987,0.47789,0.820047292,1.4393423
TGP,Energy,-1.5251,0.2293,0.820201039,0.43989774
OSIS,Information Technology,21.21735,0.31874,0.822196339,0.822959961
FAF,Financials,25.20991,0.21252,0.822294411,
MCHX,Information Technology,-8.71291,0.51816,0.823034819,1.376198099
HSNI,Consumer Discretionary,16.8139,0.2388,0.823096552,
WSH,Financials,10.68362,0.16935,0.823683094,0.94482145
RHHBY,Health Care,18.04351,0.17724,0.824089013,-0.002160827
CALM,Consumer Staples,33.01289,0.2704,0.825697274,0.577525415
CRWS,Consumer Discretionary,17.11405,0.25122,0.825811595,0.606837705
AAP,Consumer Discretionary,20.01497,0.24346,0.825855006,0.622928639
NOC,Industrials,32.4222,0.17413,0.82613073,1.031989044
TECD,Information Technology,9.08562,0.21223,0.827127552,1.240147664
MHLD,Financials,19.47453,0.26581,0.827522673,
MKL,Financials,20.94338,0.16259,0.827851228,0.698827355
FLIC,Financials,16.97918,0.21252,0.828050874,0.547361047
EEQ,Energy,2.34237,0.20887,0.82842459,0.748805205
CENT,Consumer Staples,11.27643,0.36646,0.828526166,1.068463009
TRIB,Health Care,9.43285,0.27773,0.828674271,1.36948774
EXR,Financials,43.08144,0.20681,0.828993046,1.184026177
NPBC,Financials,16.62524,0.19751,0.829683928,0.737508385
NWY,Consumer Discretionary,-8.81583,0.48698,0.829967209,2.179477375
SSS,Financials,27.21073,0.20978,0.830152399,0.989685084
GPC,Consumer Discretionary,16.74228,0.16074,0.831375821,0.765128673
WST,Health Care,28.73153,0.20633,0.831648065,0.847297545
EGOV,Information Technology,22.66127,0.27742,0.831663667,0.80550691
FRPH,Financials,5.88147,0.31584,0.832177073,0.62449971
TXRH,Consumer Discretionary,18.24179,0.21691,0.832719745,0.95188609
CRAI,Industrials,1.85095,0.31287,0.832829571,0.787726121
MASI,Health Care,7.6,0.26937,0.833682825,
NEU,Materials,29.86218,0.26012,0.833949888,1.466826869
ADP,Information Technology,23.74566,0.1347,0.833954049,0.69629276
DWA,Consumer Discretionary,-4.95333,0.39078,0.834036154,1.053341177
MRVL,Information Technology,-13.57388,0.29371,0.834211371,1.224242114
PCCC,Information Technology,22.09451,0.34275,0.834540244,1.100229095
DCI,Industrials,4.25645,0.19721,0.834567675,1.062300009
SAFT,Financials,8.99286,0.17219,0.834940712,0.593362336
CAC,Financials,7.69029,0.22583,0.834970876,0.88151101
WERN,Industrials,8.12617,0.21041,0.835060125,0.690723731
YUM,Consumer Discretionary,10.02197,0.20569,0.835507211,0.954386672
TCX,Information Technology,55.05756,0.50933,0.83595304,0.742183201
GEO,Financials,12.08428,0.23516,0.835964485,0.901253476
FLIR,Information Technology,3.20554,0.23011,0.836795762,0.849103279
SBH,Consumer Discretionary,13.93512,0.23045,0.837356678,
AAPL,Information Technology,22.82136,0.23733,0.837772386,1.227866173
RBA,Industrials,8.36181,0.24164,0.8378921,1.001847222
CHDN,Consumer Discretionary,31.69513,0.19943,0.838723476,1.054779877
UCBI,Financials,24.56479,0.45783,0.838771633,1.087234915
WFD,Financials,4.20449,0.15815,0.838861606,0.438155899
EEP,Energy,2.93583,0.21206,0.839761936,0.663097443
PRI,Financials,19.41002,0.18388,0.840634289,
WPZ,Energy,5.99835,0.24622,0.840715425,
CHKE,Consumer Discretionary,2.23464,0.3159,0.840947814,1.025063441
BWINB,Financials,5.07708,0.17663,0.841022316,0.763312566
MATW,Industrials,14.09092,0.18931,0.841136686,0.67716164
HXL,Industrials,22.72089,0.2039,0.841737338,1.495347327
CHTR,Consumer Discretionary,39.93123,0.2533,0.842254198,
GBLI,Financials,8.90431,0.23847,0.842378753,0.806038062
GME,Consumer Discretionary,15.19655,0.36593,0.842822901,1.035085737
KT,Telecommunication Services,-6.29486,0.21744,0.843777679,0.881629513
RYAAY,Industrials,22.81053,0.23491,0.843854351,0.56500637
TFSL,Financials,19.71533,0.18804,0.843859548,
MED,Consumer Staples,5.76342,0.41889,0.844512981,1.621696098
DRAD,Health Care,24.89392,0.41259,0.844914629,0.875732543
CCNE,Financials,10.09761,0.21464,0.845484757,0.708366481
MLI,Industrials,16.67328,0.22518,0.846075988,0.953296308
JW/A,Consumer Discretionary,6.75009,0.17664,0.846662277,0.810742773
SQI,Information Technology,-0.27847,0.36313,0.846669999,
OMCL,Health Care,17.25067,0.24293,0.846772739,0.960874785
CNK,Consumer Discretionary,18.22768,0.21719,0.846836347,
ATR,Materials,11.99166,0.14815,0.848126345,0.886391296
MOFG,Financials,18.90705,0.20856,0.84885716,
BAP,Financials,-0.96038,0.23827,0.848920769,1.150467418
CUBE,Financials,32.01831,0.22824,0.849722389,1.435129146
UBA,Financials,6.83507,0.16966,0.849974349,0.676199637
LPNT,Health Care,14.86667,0.22398,0.851089691,1.03045832
OTTR,Utilities,10.29961,0.20784,0.851661118,1.056844536
WFM,Consumer Staples,5.97498,0.28186,0.852459289,1.002857999
CMP,Materials,3.20909,0.19756,0.853549277,0.421581966
THG,Financials,16.0843,0.18668,0.853553713,0.679256736
OMI,Health Care,9.40643,0.1705,0.853706849,0.554674836
DAL,Industrials,27.79344,0.32172,0.854507709,
IHS,Industrials,10.88508,0.2102,0.854621699,
EPR,Financials,10.61824,0.19022,0.855038855,1.473079077
SHPG,Health Care,23.96473,0.29719,0.855253422,0.915595705
PNTR,Industrials,-1.16207,0.48129,0.855421316,0.852624251
EPC,Consumer Staples,9.59331,0.21087,0.856104181,1.234964387
ENSG,Health Care,36.43397,0.28188,0.856227394,
TAP,Consumer Staples,16.87282,0.20302,0.857506341,0.797580781
GILD,Health Care,42.39843,0.26296,0.858076673,0.578525051
ATHN,Health Care,32.64993,0.45432,0.858519499,
SPB,Consumer Staples,30.80793,0.25957,0.85925583,
WX,Health Care,21.07846,0.29086,0.859375985,
SCL,Materials,9.03146,0.25907,0.859620883,1.118909566
SYKE,Information Technology,11.3405,0.25275,0.860197361,0.907277399
PWR,Industrials,4.01429,0.22923,0.860962598,1.032629991
IPHS,Materials,-0.11484,0.30305,0.861093244,
EXPD,Industrials,0.13865,0.20687,0.861945549,0.813124921
DOX,Information Technology,17.80563,0.1637,0.862104337,0.976024547
FIS,Information Technology,18.10117,0.19089,0.862734199,0.718525917
QADB,Information Technology,27.60378,0.29308,0.862780706,1.101530146
ROST,Consumer Discretionary,27.54823,0.21056,0.863450411,0.786141543
ROLL,Industrials,14.30984,0.24144,0.863946241,1.314518264
UEPS,Information Technology,4.90906,0.50642,0.864237134,1.226176713
EXTR,Information Technology,8.10069,0.46492,0.865430153,1.355946355
EBAY,Information Technology,8.08617,0.22063,0.865490407,1.347382921
POOL,Consumer Discretionary,33.87787,0.20733,0.865760532,1.181356945
FCFS,Financials,6.22511,0.24489,0.865906306,0.987612857
FBRC,Financials,7.74528,0.2513,0.86608274,
SYNL,Materials,-1.31841,0.28974,0.866098393,1.325466008
REED,Consumer Staples,19.28072,0.56229,0.868204872,
BIN,Industrials,3.35579,0.20282,0.868258951,
III,Information Technology,11.85497,0.48183,0.868845719,
COG,Energy,17.12767,0.35117,0.869400831,1.039949088
SP,Industrials,7.53115,0.25358,0.870316808,0.632855612
UWN,Consumer Discretionary,11.57052,0.50195,0.870514105,0.883803023
IRC,Financials,8.85979,0.17787,0.87071355,0.961967532
CPRT,Industrials,17.06987,0.20747,0.870788999,0.706397958
UVSP,Financials,6.94279,0.17819,0.871052084,0.692702715
PRSC,Health Care,23.99781,0.47357,0.871223392,1.565529745
GMCR,Consumer Staples,7.02443,0.64943,0.871771567,1.019662593
RWT,Financials,6.49222,0.25107,0.872012456,0.8914837
LPT,Financials,7.29871,0.20442,0.872902588,1.208426257
XOXO,Information Technology,12.78432,0.33283,0.873833146,1.208907368
LCUT,Consumer Discretionary,-0.46773,0.33734,0.874601955,1.794199674
PAYX,Information Technology,17.76708,0.1498,0.87469311,0.860911459
FDEF,Financials,30.16381,0.20152,0.875060571,1.573289824
IFF,Materials,20.00796,0.17553,0.875138598,0.895939757
PGC,Financials,14.83375,0.24097,0.875319983,0.85342078
Y,Financials,11.36849,0.15169,0.875415265,0.579343243
NNA,Energy,-1.26225,0.36181,0.875593075,
ENH,Financials,11.1914,0.17903,0.876014013,0.761543191
JBSS,Consumer Staples,42.70067,,0.876460164,0.659838873
OHI,Financials,17.29949,0.21929,0.876793705,0.878552965
MMLP,Energy,1.53183,0.25841,0.877515892,0.479225156
PAA,Energy,0.20452,0.2211,0.878105293,0.538508108
UPS,Industrials,11.68229,0.14383,0.878239825,0.853038985
SYBT,Financials,19.05657,0.18168,0.880100705,0.562868741
DRQ,Energy,-4.04077,0.29458,0.880760628,1.521691074
GOV,Financials,-1.56583,0.16059,0.880775736,
OSIR,Health Care,9.02575,0.64593,0.880927534,
SUBK,Financials,3.00534,0.32744,0.882347617,0.713030618
GWW,Industrials,11.52411,0.17288,0.882600098,0.923960233
TSS,Information Technology,31.29826,0.18058,0.884293869,0.968115314
MTB,Financials,13.34868,0.16573,0.885094756,0.802995882
CLRO,Information Technology,27.07269,0.51288,0.885966855,0.586517905
ABR,Financials,10.96773,0.282,0.886253637,3.04773533
USB,Financials,15.22941,0.13818,0.887181495,0.961707768
UFPT,Materials,16.79853,0.30245,0.88723758,1.290142418
IM,Information Technology,11.60299,0.21969,0.888226659,1.034509717
TOO,Energy,-8.16733,0.24226,0.888880193,
MTN,Consumer Discretionary,22.93665,0.22385,0.888883775,1.400109056
ROP,Industrials,22.46518,0.17521,0.889410516,0.786696034
CALL,Telecommunication Services,-6.68276,0.56134,0.889615529,0.935973334
NRG,Utilities,-8.57034,0.27126,0.889820837,0.838757862
BANC,Financials,9.31782,0.26956,0.890361649,1.126515892
BMTC,Financials,14.90916,0.19864,0.890498981,0.730730192
TGS,Energy,16.02134,0.49503,0.890805869,1.111996881
GRMN,Consumer Discretionary,9.45604,0.22179,0.890853382,1.226999347
BANF,Financials,12.32562,0.17428,0.891018536,0.670625515
M,Consumer Discretionary,11.01215,0.25356,0.891566116,1.540688252
APEI,Consumer Discretionary,-7.90386,0.37201,0.892127294,
TCO,Financials,13.03302,0.20558,0.894610096,1.423385173
PRE,--,15.37373,0.18092,0.895791237,0.574447348
FSM,Materials,-9.936,0.53432,0.8969425,1.041157866
SXL,Energy,20.86978,0.24606,0.896973604,0.379893577
CVS,Consumer Staples,33.20953,0.1676,0.897040283,0.856075474
COHU,Information Technology,-0.5123,0.35639,0.897439274,1.338256564
PFE,Health Care,18.80006,0.15798,0.89838117,0.765803564
TD,Financials,5.77388,0.16846,0.899453494,1.232544392
XOM,Energy,6.03232,0.15815,0.899906762,0.594130535
ZBH,Health Care,15.87085,0.19319,0.900496508,1.018080214
CSV,Consumer Discretionary,39.96106,0.32787,0.902025264,0.942167769
CLC,Industrials,6.28269,0.1932,0.902285969,0.940713061
BH,Consumer Discretionary,3.13208,0.24096,0.902976522,1.303973156
BMO,Financials,3.84182,0.17549,0.903958915,1.223366643
SON,Materials,9.56806,0.16696,0.904979721,0.963538652
DEI,Financials,16.31615,0.19663,0.905623288,
IDSY,Information Technology,6.75576,0.47779,0.906313918,1.270264145
MJN,Consumer Staples,8.02676,0.22052,0.906788011,
GLRE,Financials,-6.17462,0.1757,0.907435673,
JWN,Consumer Discretionary,9.80131,0.19942,0.907560339,1.531713737
CCE,Consumer Staples,18.40228,0.17022,0.907646799,1.161155335
GDOT,Financials,-20.86625,0.46242,0.907875768,
CFR,Financials,8.7283,0.17479,0.908095677,0.624015806
HTGC,Financials,11.61889,0.21252,0.908487356,1.313757293
BG,Consumer Staples,3.28737,0.19302,0.908604533,1.078399145
BUSE,Financials,15.15588,0.19247,0.909030476,0.712998481
TNC,Industrials,13.92041,0.24443,0.909323107,1.347592422
MSFT,Information Technology,19.56545,0.22248,0.9104762,1.017255247
BBSI,Industrials,26.36477,0.48788,0.911033252,0.838887539
STZ,Consumer Staples,47.52855,0.3071,0.91187669,0.997952147
MD,Health Care,19.42483,0.19744,0.911905353,0.985929595
HCKT,Information Technology,42.02467,0.37582,0.912165639,0.882208802
RCII,Consumer Discretionary,-7.27733,0.31697,0.912370857,0.816112739
MSM,Industrials,2.68464,0.21045,0.912910855,1.149477966
AGM,Financials,18.02975,0.31669,0.913054808,1.186788444
TW,Industrials,22.36474,0.23931,0.91366518,0.688610145
WTBA,Financials,27.15132,0.25533,0.914106621,1.049119176
POWI,Information Technology,5.68086,0.3363,0.914753769,1.257691371
BAM,Financials,14.48613,0.16801,0.914844133,1.349127469
LABL,Industrials,26.71409,0.31315,0.915161869,0.906185993
AFSI,Financials,45.26246,0.28513,0.915805243,
CIM,Financials,7.16433,0.2356,0.915829534,
FAST,Industrials,10.834,0.22792,0.917327697,0.967806647
WAC,Financials,-2.99862,0.4826,0.917839886,0.137962375
MRTN,Industrials,6.11762,0.24699,0.91866916,0.704227851
SAJA,Information Technology,-0.19881,0.63533,0.919451896,0.64352897
LEG,Consumer Discretionary,22.93672,0.19469,0.919555788,1.148361125
PCL,Financials,11.68513,0.20347,0.921700645,0.992045984
GOOGL,Information Technology,21.50418,0.24118,0.921706453,1.096837587
SCI,Consumer Discretionary,29.96596,0.18677,0.921718227,1.42635863
OSBC,Financials,28.87511,0.63075,0.923683197,1.423101807
CBSH,Financials,20.64345,0.15169,0.923765584,0.565743139
AXS,Financials,12.09465,0.17893,0.923898654,0.83360039
GABC,Financials,16.94888,0.22446,0.924486049,0.690812342
SWI,Information Technology,26.63538,0.40213,0.924586347,
AMX,Telecommunication Services,-8.6327,0.22323,0.925767673,1.209823989
PCH,Financials,5.41954,0.19901,0.925839775,1.022834664
AVAV,Industrials,0.41242,0.34275,0.926998967,
ALOG,Health Care,13.00107,0.25502,0.928216377,0.802050488
IILG,Consumer Discretionary,0.45664,0.30292,0.928938308,
SXT,Materials,16.57564,0.18959,0.929144897,0.908760955
